lam,sched,rep,throughput,avg_ttft,avg_tbt,avg_latency
0.2,complete,0,0.019473438230253944,8069.393356353127,761.2033333333327,19487.443356353117
0.2,complete,1,0.019473438230253944,8150.105013703221,761.2033333333326,19568.155013703206
0.2,complete,2,0.019473438230253944,8088.7904910002135,761.2033333333326,19506.840491000203
0.2,prefill_first,0,0.0389958566902267,3495.651106353127,380.5661499999993,9204.143356353117
0.2,prefill_first,1,0.0389958566902267,3574.337763703219,380.7011499999993,9284.85501370321
0.2,prefill_first,2,0.038995856690226705,3518.6014910002127,380.329266666666,9223.540491000203
0.4,complete,0,0.019473438230253944,8596.071678176564,761.2033333333326,20014.121678176554
0.4,complete,1,0.019473438230253944,8636.427506851609,761.2033333333326,20054.4775068516
0.4,complete,2,0.019473438230253944,8605.770245500107,761.2033333333325,20023.820245500094
0.4,prefill_first,0,0.039096098209398744,4046.7734281765634,377.18321666666606,9704.521678176554
0.4,prefill_first,1,0.039096098209398744,4084.526756851609,377.35671666666605,9744.8775068516
0.4,prefill_first,2,0.0389958566902267,4058.9587455001074,378.7707666666661,9740.520245500098
0.6,complete,0,0.019473438230253947,8771.631118784375,761.2033333333325,20189.68111878436
0.6,complete,1,0.019473438230253944,8798.53500456774,761.2033333333326,20216.58500456773
0.6,complete,2,0.019473438230253944,8778.096830333403,761.2033333333327,20196.146830333393
0.6,prefill_first,0,0.039096098209398744,4210.280368784375,377.98671666666604,9880.081118784365
0.6,prefill_first,1,0.039096098209398744,4216.20525456774,379.38531666666603,9906.98500456773
0.6,prefill_first,2,0.03909609820939874,4208.8320803334045,378.51431666666605,9886.546830333396
0.8,complete,0,0.019473438230253944,8859.410839088283,761.2033333333325,20277.460839088268
0.8,complete,1,0.019473438230253944,8879.588753425805,761.2033333333325,20297.638753425792
0.8,complete,2,0.019473438230253944,8864.260122750053,761.2033333333326,20282.31012275004
0.8,prefill_first,0,0.039096098209398744,4285.218589088282,378.84281666666607,9967.860839088271
0.8,prefill_first,1,0.039096098209398744,4294.326503425805,379.58081666666607,9988.038753425795
0.8,prefill_first,2,0.03909609820939874,4284.841872750053,379.1912166666661,9972.710122750044
1.0,complete,0,0.019473438230253944,8912.078671270627,761.2033333333326,20330.128671270613
1.0,complete,1,0.019473438230253944,8928.221002740644,761.2033333333326,20346.271002740632
1.0,complete,2,0.019473438230253944,8915.958098200043,761.2033333333326,20334.008098200033
1.0,prefill_first,0,0.03909609820939874,4328.287921270625,379.4827166666661,10020.528671270617
1.0,prefill_first,1,0.03909609820939874,4342.885252740644,379.58571666666614,10036.671002740635
1.0,prefill_first,2,0.03909609820939874,4331.090348200042,379.5545166666661,10024.408098200034
